Product_ID,Product_Name,Product_Price,Category,Brand,Origin,Brand_Origin
113109802,[Chỉ giao HCM] Nạc vai bò lát - 500 gram,168000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,Happy Meal,Việt Nam,Việt Nam
83216690,[Chỉ Giao HCM] - SƯỜN NON HEO - 1KG,126000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Úc,-1
121493169,[Chỉ giao HCM] Lòng gà CP 500g-3456070,33900,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,OEM,Việt Nam,-1
79378086,[Chỉ Giao HCM] - Thịt nọng heo CP - Khay 500g,76000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,CP,Việt Nam,Việt Nam
102038660,[Chỉ Giao HN] - Gà Giun Quế - 1.5kg,336000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,OEM,Việt Nam,-1
122180201,[Chỉ giao HCM] Thịt Nạc Thăn Bò Úc,140000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Úc,-1
122909110,HCM - Fillet gà không da 490g - Giao nhanh,43000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,Meat World,Việt Nam,Việt Nam
111680452,[Giao Nhanh 2H] Gầu Bò Mỹ 300Gr,90000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Mỹ,-1
116143914,[Chỉ giao HN] Gầu bò Mỹ Kiwifood - 1 khay 500g,162000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,KiwiFood,Việt Nam,-1
58215901,[Chỉ Giao HCM] - Sườn Non Heo Monang 3S - 500Gr,175000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,3Sạch Food,Việt Nam,Việt Nam
126126732,Lá Lách Bò Úc,219000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Úc,-1
120571285,Combo 5kg Cánh Gà Khúc Giữa,729000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,OEM,Mỹ,-1
58941293,[Chỉ Giao HCM] - Thịt ba rọi heo hữu cơ FAU - 500g,152500,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,Go Green,Việt Nam,-1
118331626,[Giao Nhanh 2H] Combo 1kg Ba chỉ bò Mỹ Hotpot,208000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Mỹ,-1
123149862,[Chỉ giao HN] Thịt lợn quê - Sườn ngon - 1kg,120000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
123150272,Lõi Nạc Bò Mỹ Cuộn,365000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,COOMEE,Mỹ,Việt Nam
126873875,[Chỉ giao HN] Mông - 500g,60000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
121220189,Combo 72: 1kg Sườn bẹ heo Olymel + 1kg Đùi gà góc tư,285000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Mỹ,-1
121493175,[Chỉ giao HCM] Cốt lết heo 300g-3502345,42300,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
103044621,"HCM - Đùi gọ bò Úc (350g) - Thích hợp với các món xào, nhúng lẩu hoặc bít tết, bò kho, luộc, nướng, quay,... - [Giao nhanh TPHCM]",99000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,TOPMEAL,Việt Nam,Việt Nam
58215883,[Chỉ Giao HCM] - Thịt Nạc Dăm Heo Monang - khay 500gr (số lượng thực tế chênh lệch 10%) - Không chất tạo nạc Không hóa chất tẩm ướp,112500,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,3Sạch Food,Việt Nam,Việt Nam
126881260,[Chỉ giao HN] Ba chỉ bò - 1kg,150000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Việt Nam,-1
122413770,Dẻ Sườn Bò Ấn Độ Nhập Khẩu 500Gr ,99000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Ấn Độ,-1
121397874,[Chỉ giao HCM] Vú heo - 1KG,290000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
113109802,[Chỉ giao HCM] Nạc vai bò lát - 500 gram,168000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,Happy Meal,Việt Nam,Việt Nam
83216690,[Chỉ Giao HCM] - SƯỜN NON HEO - 1KG,126000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Úc,-1
121493169,[Chỉ giao HCM] Lòng gà CP 500g-3456070,33900,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,OEM,Việt Nam,-1
79378086,[Chỉ Giao HCM] - Thịt nọng heo CP - Khay 500g,76000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,CP,Việt Nam,Việt Nam
102038660,[Chỉ Giao HN] - Gà Giun Quế - 1.5kg,336000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,OEM,Việt Nam,-1
122180201,[Chỉ giao HCM] Thịt Nạc Thăn Bò Úc,140000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Úc,-1
122909110,HCM - Fillet gà không da 490g - Giao nhanh,43000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,Meat World,Việt Nam,Việt Nam
111680452,[Giao Nhanh 2H] Gầu Bò Mỹ 300Gr,90000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Mỹ,-1
